created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2021-11-23T14:47:02+09:00,1,18.4,23.4,18.4,86,1,,,,
2021-11-23T14:47:32+09:00,2,18.3,23.7,18.4,89,1,,,,
2021-11-23T14:47:55+09:00,3,18.3,23.7,20.2,89,1,,,,
2021-11-23T14:48:18+09:00,4,18.4,23.8,21.9,89,1,,,,
2021-11-23T14:48:42+09:00,5,18.3,23.8,23.4,88,1,,,,
2021-11-23T14:49:05+09:00,6,18.4,25.3,24.9,88,1,,,,
2021-11-23T14:49:28+09:00,7,18.5,25.0,26.6,88,1,,,,
2021-11-23T14:49:54+09:00,8,18.5,25.0,28.2,88,1,,,,
2021-11-23T14:50:18+09:00,9,18.6,24.8,29.8,88,1,,,,
2021-11-23T14:50:41+09:00,10,18.7,24.7,31.8,88,1,,,,
2021-11-23T14:54:39+09:00,11,19.0,23.8,42.8,88,1,,,,
2021-11-23T14:55:03+09:00,12,19.0,24.2,43.4,87,1,,,,
2021-11-23T14:55:19+09:00,13,19.0,23.4,43.2,88,1,,,,
2021-11-23T14:55:43+09:00,14,19.0,24.1,35.7,88,1,,,,
2021-11-23T14:56:11+09:00,15,19.0,23.9,32.7,88,1,,,,
2021-11-23T14:56:34+09:00,16,19.0,23.6,30.8,88,1,,,,
2021-11-23T14:56:58+09:00,17,19.0,23.6,29.2,87,1,,,,
2021-11-23T14:57:21+09:00,18,19.0,22.9,27.8,86,1,,,,
2021-11-23T14:57:44+09:00,19,19.1,23.2,28.2,86,1,,,,
2021-11-23T14:58:07+09:00,20,19.1,23.2,30.2,82,1,,,,
2021-11-23T14:58:32+09:00,21,19.0,23.1,31.0,88,1,,,,
2021-11-23T14:58:56+09:00,22,19.0,23.7,32.9,88,1,,,,
2021-11-23T14:59:20+09:00,23,19.0,23.5,34.0,88,1,,,,
2021-11-23T14:59:43+09:00,24,19.0,23.6,34.8,88,1,,,,
2021-11-23T15:00:06+09:00,25,19.0,23.4,35.2,89,1,,,,
2021-11-23T15:00:30+09:00,26,19.0,23.5,35.6,86,1,,,,
2021-11-23T15:00:55+09:00,27,19.1,23.7,36.2,88,1,,,,
2021-11-23T15:01:18+09:00,28,19.1,23.4,36.2,89,1,,,,
2021-11-23T15:01:47+09:00,29,19.1,23.1,36.2,88,1,,,,
2021-11-23T15:02:12+09:00,30,19.1,23.3,36.3,88,1,,,,
2021-11-23T15:02:40+09:00,31,19.2,23.5,36.4,88,1,,,,
2021-11-23T15:04:23+09:00,32,19.2,22.9,38.6,88,1,,,,
2021-11-23T15:04:48+09:00,33,19.2,23.4,40.1,88,1,,,,
2021-11-23T15:05:11+09:00,34,19.2,23.2,41.3,88,1,,,,
2021-11-23T15:05:34+09:00,35,19.2,23.1,42.1,88,1,,,,
2021-11-23T15:06:01+09:00,36,19.2,23.1,42.9,88,1,,,,
2021-11-23T15:06:23+09:00,37,19.2,23.0,43.6,88,1,,,,
2021-11-23T15:06:50+09:00,38,19.2,23.1,43.8,88,1,,,,
2021-11-23T15:07:14+09:00,39,19.2,23.0,43.4,88,1,,,,
2021-11-23T15:07:42+09:00,40,19.2,23.1,43.4,88,1,,,,
2021-11-23T15:08:05+09:00,41,19.2,23.1,43.4,88,1,,,,
2021-11-23T15:08:32+09:00,42,19.3,23.1,43.9,87,1,,,,
2021-11-23T15:08:55+09:00,43,19.3,22.9,44.1,74,1,,,,
2021-11-23T15:09:19+09:00,44,19.3,22.7,44.4,85,1,,,,
2021-11-23T15:09:36+09:00,45,19.3,22.7,44.4,88,1,,,,
2021-11-23T15:09:59+09:00,46,19.3,23.0,44.6,89,1,,,,
2021-11-23T15:10:22+09:00,47,19.3,22.9,44.7,89,1,,,,
2021-11-23T15:10:46+09:00,48,19.2,22.9,44.9,88,1,,,,
2021-11-23T15:11:05+09:00,49,19.2,22.9,45.0,88,1,,,,
2021-11-23T15:11:33+09:00,50,19.3,22.9,45.2,88,1,,,,
2021-11-23T15:11:58+09:00,51,19.2,23.0,45.4,88,1,,,,
2021-11-23T15:12:21+09:00,52,19.2,22.8,45.6,88,1,,,,
2021-11-23T15:12:44+09:00,53,19.2,23.0,46.1,88,1,,,,
2021-11-23T15:13:07+09:00,54,19.2,22.9,48.2,88,1,,,,
2021-11-23T15:13:30+09:00,55,19.2,22.9,49.9,88,1,,,,
2021-11-23T15:13:53+09:00,56,19.2,23.1,51.1,88,1,,,,
2021-11-23T15:14:16+09:00,57,19.2,23.0,52.2,88,1,,,,
2021-11-23T15:14:40+09:00,58,19.2,23.0,53.1,88,1,,,,
2021-11-23T15:15:03+09:00,59,19.2,23.1,53.7,88,1,,,,
2021-11-23T15:15:27+09:00,60,19.3,22.9,54.1,88,1,,,,
2021-11-23T15:15:50+09:00,61,19.2,22.8,54.6,88,1,,,,
2021-11-23T15:16:13+09:00,62,19.3,22.9,54.9,88,1,,,,
2021-11-23T15:16:37+09:00,63,19.3,22.8,55.3,88,1,,,,
2021-11-23T15:17:00+09:00,64,19.3,23.2,55.9,88,1,,,,
2021-11-23T15:17:23+09:00,65,19.3,23.2,56.3,88,1,,,,
2021-11-23T15:17:47+09:00,66,19.3,23.1,56.7,88,1,,,,
2021-11-23T15:18:10+09:00,67,19.3,23.3,57.0,88,1,,,,
2021-11-23T15:18:33+09:00,68,19.3,23.2,57.2,88,1,,,,
2021-11-23T15:19:05+09:00,69,19.3,23.5,57.6,88,1,,,,
2021-11-23T15:19:28+09:00,70,19.4,23.4,57.9,88,1,,,,
2021-11-23T15:19:48+09:00,71,19.4,23.4,58.2,88,1,,,,
2021-11-23T15:20:11+09:00,72,19.4,23.5,58.9,88,1,,,,
2021-11-23T15:20:36+09:00,73,19.4,23.3,59.3,88,1,,,,
2021-11-23T15:20:59+09:00,74,19.4,23.3,59.7,88,1,,,,
2021-11-23T15:21:22+09:00,75,19.4,23.0,59.9,88,1,,,,
2021-11-23T15:21:45+09:00,76,19.4,23.2,60.0,88,1,,,,
2021-11-23T15:22:08+09:00,77,19.5,23.2,60.1,88,1,,,,
2021-11-23T15:22:31+09:00,78,19.4,23.2,60.1,88,1,,,,
2021-11-23T15:22:55+09:00,79,19.5,22.9,60.1,88,1,,,,
2021-11-23T15:23:18+09:00,80,19.5,22.8,60.2,88,1,,,,
2021-11-23T15:23:41+09:00,81,19.5,23.2,60.2,88,1,,,,
2021-11-23T15:24:05+09:00,82,19.6,23.0,59.5,88,1,,,,
2021-11-23T15:24:39+09:00,83,19.6,22.9,59.0,88,1,,,,
2021-11-23T15:25:03+09:00,84,19.6,22.9,58.8,85,1,,,,
2021-11-23T15:25:26+09:00,85,19.7,23.0,58.9,88,1,,,,
2021-11-23T15:25:49+09:00,86,19.7,23.0,58.9,88,1,,,,
2021-11-23T15:26:12+09:00,87,19.7,23.0,58.9,88,1,,,,
2021-11-23T15:26:35+09:00,88,19.7,23.1,56.1,88,1,,,,
2021-11-23T15:26:59+09:00,89,19.7,22.9,51.9,88,1,,,,
2021-11-23T15:27:22+09:00,90,19.7,22.9,50.9,88,1,,,,
2021-11-23T15:27:45+09:00,91,19.7,22.7,52.9,88,1,,,,
2021-11-23T15:28:08+09:00,92,19.6,22.6,54.1,88,1,,,,
2021-11-23T15:28:31+09:00,93,19.6,22.7,54.8,88,1,,,,
2021-11-23T15:28:54+09:00,94,19.6,22.8,55.5,73,1,,,,
2021-11-23T15:29:18+09:00,95,19.6,22.8,56.1,84,1,,,,
2021-11-23T15:29:41+09:00,96,19.6,22.6,56.4,84,1,,,,
2021-11-23T15:30:04+09:00,97,19.6,22.5,56.8,84,1,,,,
2021-11-23T15:30:27+09:00,98,19.6,22.4,56.8,85,1,,,,
2021-11-23T15:30:50+09:00,99,19.6,22.4,57.2,88,1,,,,
2021-11-23T15:31:13+09:00,100,19.6,22.5,57.6,88,1,,,,
2021-11-23T15:31:37+09:00,101,19.7,22.6,58.1,84,1,,,,
2021-11-23T15:32:00+09:00,102,19.7,22.4,58.4,84,1,,,,
2021-11-23T15:32:23+09:00,103,19.7,22.2,58.6,81,1,,,,
2021-11-23T15:32:46+09:00,104,19.7,22.2,58.6,83,1,,,,
2021-11-23T15:33:09+09:00,105,19.7,22.1,58.6,84,1,,,,
2021-11-23T15:33:32+09:00,106,19.7,22.1,58.5,88,1,,,,
2021-11-23T15:33:56+09:00,107,19.7,22.1,58.6,84,1,,,,
2021-11-23T15:34:19+09:00,108,19.8,22.4,58.8,84,1,,,,
2021-11-23T15:34:42+09:00,109,19.8,22.0,58.9,84,1,,,,
2021-11-23T15:35:06+09:00,110,19.8,22.0,58.9,55,1,,,,
2021-11-23T15:35:29+09:00,111,19.8,21.9,59.1,76,1,,,,
2021-11-23T15:35:52+09:00,112,19.8,22.0,59.4,84,1,,,,
